metro,ai_skill_score,wage_growth_pct,wage_index
Akron,58.23,2.27,0.325
Albany,65.39,3.7,0.9417
Albuquerque,50.09,4.176,0.1083
Allentown,41.91,1.684,0.625
Atlanta,42.19,2.085,0.3917
Augusta,22.52,2.425,0.1917
Austin,16.89,0.33,0.0083
Bakersfield,48.85,1.338,0.525
Baltimore,54.53,2.543,0.7083
Baton Rouge,65.81,6.245,0.275
Birmingham,60.28,2.803,0.2083
Boise,47.01,3.598,0.475
Boston,40.72,3.07,0.875
Buffalo,23.06,3.021,0.5583
Charleston,43.7,3.789,0.3417
Charlotte,28.77,1.334,0.7917
Chattanooga,27.97,3.515,0.775
Chicago,34.57,2.29,0.075
Cincinnati,25.12,2.224,0.6083
Cleveland,22.4,3.092,0.125
Colorado Springs,23.01,3.41,0.1417
Columbia,43.13,4.547,0.9917
Columbus,59.41,4.526,0.9583
Dallas,54.85,2.452,0.4917
Dayton,35.74,2.275,0.2917
Denver,66.71,3.198,0.5417
Des Moines,45.01,3.554,0.7417
Detroit,62.35,2.93,0.8417
Durham,53.47,2.612,0.425
El Paso,53.63,3.798,0.725
Fresno,28.47,2.781,0.1583
Grand Rapids,42.25,2.21,0.8917
Greensboro,44.4,4.5,0.025
Greenville,59.88,3.423,0.2417
Harrisburg,11.93,1.725,0.225
Hartford,50.9,3.577,0.8083
Houston,28.58,1.236,0.175
Indianapolis,41.29,4.729,0.8583
Jacksonville,81.62,3.886,0.925
Kansas City,56.14,3.064,0.975
Knoxville,29.87,3.567,0.0583
Las Vegas,47.99,4.375,0.5083
Lexington,36.5,3.824,0.6917
Little Rock,52.92,3.542,0.3583
Louisville,24.58,0.962,0.0417
Madison,28.63,1.904,0.7583
Memphis,52.33,4.394,0.575
Miami,43.44,4.968,0.375
Milwaukee,26.59,0.816,0.2583
Minneapolis,61.7,1.607,0.4083
Nashville,16.01,1.341,0.6417
New Orleans,56.98,5.843,0.4417
Oklahoma City,66.05,2.317,0.675
Omaha,34.12,3.535,0.6583
Orlando,75.29,3.9,0.9083
Phoenix,45.83,3.13,0.4583
Pittsburgh,69.86,3.272,0.825
Portland,37.07,2.134,0.5917
Providence,40.28,2.658,0.0917
Raleigh,33.77,1.273,0.3083
